barcode,item,new_desc,price,source
COA~5198983,1078169,Transformer 32 V,233.3,https://www.schnap.com.au/dual-outlet-transformer-100va-240v-32v-ip20-repelec-vertrf100va240-32v.html
1229028,1229028,Transformer 32 V,233.3,https://www.schnap.com.au/dual-outlet-transformer-100va-240v-32v-ip20-repelec-vertrf100va240-32v.html
1229035,1229035,Transformer 32 V,233.3,https://www.schnap.com.au/dual-outlet-transformer-100va-240v-32v-ip20-repelec-vertrf100va240-32v.html
1229039,1229039,Transformer 32 V,233.3,https://www.schnap.com.au/dual-outlet-transformer-100va-240v-32v-ip20-repelec-vertrf100va240-32v.html
1229040,1229040,Transformer 32 V,233.3,https://www.schnap.com.au/dual-outlet-transformer-100va-240v-32v-ip20-repelec-vertrf100va240-32v.html
1233099,1233099,Earth Leakage Power Pack Device - 10 A,79.5,https://www.wagneronline.com.au/portable-rcd-safety-power-cube-rv-10a-15a/ac-power-rcd/power-electrical/power-lighting/ur100-rv-107446/963195/pd/
1269862,1269862,Earth Leakage Power Pack Device - 10 A,79.5,https://www.wagneronline.com.au/portable-rcd-safety-power-cube-rv-10a-15a/ac-power-rcd/power-electrical/power-lighting/ur100-rv-107446/963195/pd/
1302138,1302138,Earth Leakage Power Pack Device - 10 A,79.5,https://www.wagneronline.com.au/portable-rcd-safety-power-cube-rv-10a-15a/ac-power-rcd/power-electrical/power-lighting/ur100-rv-107446/963195/pd/
1302142,1302142,Earth Leakage Power Pack Device - 10 A,79.5,https://www.wagneronline.com.au/portable-rcd-safety-power-cube-rv-10a-15a/ac-power-rcd/power-electrical/power-lighting/ur100-rv-107446/963195/pd/
1302143,1302143,Earth Leakage Power Pack Device - 10 A,79.5,https://www.wagneronline.com.au/portable-rcd-safety-power-cube-rv-10a-15a/ac-power-rcd/power-electrical/power-lighting/ur100-rv-107446/963195/pd/
1302144,1302144,Earth Leakage Power Pack Device - 10 A,79.5,https://www.wagneronline.com.au/portable-rcd-safety-power-cube-rv-10a-15a/ac-power-rcd/power-electrical/power-lighting/ur100-rv-107446/963195/pd/
1302145,1302145,Earth Leakage Power Pack Device - 10 A,79.5,https://www.wagneronline.com.au/portable-rcd-safety-power-cube-rv-10a-15a/ac-power-rcd/power-electrical/power-lighting/ur100-rv-107446/963195/pd/
